stadium_name,game_sequence,featured_visit_date,featured_visit_day,away_team,away_team_abbreviation,home_team,home_team_abbreviation,away_runs_by_inning,home_runs_by_inning,away_r,away_h,away_e,home_r,home_h,home_e,innings_played,source
Wrigley Field,1,"Aug 12, 1988",Friday,St. Louis Cardinals,STL,Chicago Cubs,CHC,0;0;0;1;0;0;2;1;0,0;0;0;0;0;0;0;0;0,4,10,0,0,1,2,9,https://statsapi.mlb.com/api/v1.1/game/196016/feed/live
Milwaukee County Stadium,1,"Aug 12, 1988",Friday,Baltimore Orioles,BAL,Milwaukee Brewers,MIL,3;0;0;0;0;0;0;0;0,0;2;0;4;0;0;2;0;x,3,10,1,8,14,0,9,https://statsapi.mlb.com/api/v1.1/game/196006/feed/live
Comiskey Park,1,"Aug 16, 1988",Tuesday,Toronto Blue Jays,TOR,Chicago White Sox,CWS,1;0;0;0;0;0;2;0;1,0;2;2;0;1;0;0;0;x,4,10,0,5,6,0,9,https://statsapi.mlb.com/api/v1.1/game/196064/feed/live
Dodger Stadium,1,"Aug 18, 1986",Monday,New York Mets,NYM,Los Angeles Dodgers,LAD,1;0;1;0;3;0;0;0;0,0;0;0;0;4;0;0;0;0,5,9,0,4,11,1,9,https://statsapi.mlb.com/api/v1.1/game/191850/feed/live
Dodger Stadium,2,"Aug 19, 1986",Tuesday,New York Mets,NYM,Los Angeles Dodgers,LAD,2;2;0;0;0;1;0;0;1,0;2;2;0;0;0;0;0;0,6,12,2,4,9,1,9,https://statsapi.mlb.com/api/v1.1/game/191860/feed/live
San Diego Stadium,1,"May 17, 1972",Wednesday,Los Angeles Dodgers,LAD,San Diego Padres,SD,0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;1;x,0,6,1,2,4,0,9,https://statsapi.mlb.com/api/v1.1/game/162774/feed/live
Anaheim Stadium,1,"Aug 17, 1986",Sunday,Oakland Athletics,OAK,California Angels,CAL,0;1;0;1;0;0;0;0;1,1;0;1;0;0;2;1;2;x,3,9,2,7,12,0,9,https://statsapi.mlb.com/api/v1.1/game/191841/feed/live
Yankee Stadium (1923),1,"Aug 1, 1987",Saturday,Detroit Tigers,DET,New York Yankees,NYY,1;0;1;0;3;3;2;0;0,0;0;0;0;1;0;0;2;2,10,16,1,5,8,1,9,https://statsapi.mlb.com/api/v1.1/game/193747/feed/live
Shea Stadium,1,"Aug 16, 1990",Thursday,Los Angeles Dodgers,LAD,New York Mets,NYM,0;1;0;0;0;0;0;0;0,0;0;0;2;1;1;0;0;x,1,10,0,4,9,0,9,https://statsapi.mlb.com/api/v1.1/game/200243/feed/live
Riverfront Stadium,1,"Aug 14, 1988",Sunday,Atlanta Braves,ATL,Cincinnati Reds,CIN,0;0;0;0;0;0;0;0;0,0;1;0;0;1;0;0;0;x,0,9,0,2,5,0,9,https://statsapi.mlb.com/api/v1.1/game/196032/feed/live
Tiger Stadium,1,"Aug 15, 1988",Monday,Minnesota Twins,MIN,Detroit Tigers,DET,0;0;1;0;0;0;1;0;0,1;0;0;0;0;0;0;0;0,2,9,0,1,7,0,9,https://statsapi.mlb.com/api/v1.1/game/196048/feed/live
Royals Stadium,1,"Aug 23, 1989",Wednesday,California Angels,CAL,Kansas City Royals,KC,1;0;0;0;0;0;0;3;0,2;0;0;0;3;1;0;0;x,4,6,1,6,11,1,9,https://statsapi.mlb.com/api/v1.1/game/198253/feed/live
Cleveland Municipal Stadium,1,"Aug 13, 1990",Monday,Detroit Tigers,DET,Cleveland Indians,CLE,3;2;0;0;0;0;0;0;1,0;1;2;0;0;0;0;0;2,6,10,1,5,11,1,9,https://statsapi.mlb.com/api/v1.1/game/200206/feed/live
Three Rivers Stadium,1,"Aug 14, 1990",Tuesday,Atlanta Braves,ATL,Pittsburgh Pirates,PIT,0;0;0;0;0;0;0;0;1,0;0;0;2;0;1;0;0;x,1,6,0,3,9,0,9,https://statsapi.mlb.com/api/v1.1/game/200213/feed/live
Three Rivers Stadium,2,"Aug 14, 1990",Tuesday,Atlanta Braves,ATL,Pittsburgh Pirates,PIT,0;0;1;0;1;0;2;0;0,4;0;2;0;0;0;0;0;x,4,5,1,6,6,1,9,https://statsapi.mlb.com/api/v1.1/game/200214/feed/live
